sloc,lloc,function_count,class_count,loop_count,max_loop_depth,nested_loop_count,conditional_count,try_except_count,list_comprehensions,io_operations,network_calls,heavy_math_imports,recursion_candidates,avg_complexity,max_complexity,total_complexity,halstead_volume,halstead_difficulty,halstead_effort,maintainability_index,computational_intensity,actual_energy_joules,physics_energy,residual
332,324,0,5,8,1,3,4,5,1,10,5,0,3,1,1,12,1791,14,66237,87,3,6.026189,27.163028,-21.136839000000002
284,277,7,3,8,0,2,13,2,4,2,1,2,0,2,13,13,2940,22,79131,43,5,3.277689,12.84695,-9.569261
279,277,12,0,9,4,5,18,1,1,0,5,1,2,2,8,13,3113,17,59429,91,46,24.408284,3824.266651,-3799.858367
141,137,20,0,5,4,3,5,3,6,4,5,1,2,14,25,100,458,14,4207,50,51,27.93704,4179.978497,-4152.041457
38,32,18,5,10,1,7,12,5,7,2,2,1,1,12,18,69,2152,47,76622,64,74,4.959621,14.760665,-9.801044
75,74,15,0,1,0,0,20,1,10,6,4,0,3,7,20,60,4334,16,72512,11,87,4.855547,30.689842,-25.834294999999997
354,352,17,2,10,0,4,13,1,7,0,5,2,1,9,4,81,2444,40,66540,87,25,6.83526,40.222764,-33.387504
493,483,16,0,10,3,0,3,2,4,3,0,1,0,2,24,63,566,48,69822,26,16,10.534204,196.140484,-185.60628
248,248,17,1,8,4,6,6,4,3,4,3,2,3,15,17,58,991,15,29451,18,43,36.441143,7238.880792,-7202.439649
117,110,2,5,1,1,0,1,2,1,8,1,2,3,4,18,17,4677,36,61953,41,100,3.57703,18.794203,-15.217172999999999
418,411,6,0,3,3,2,13,3,7,0,5,0,0,7,24,44,895,15,25112,34,68,9.228845,341.697969,-332.469124
241,234,2,3,3,0,2,0,0,3,2,3,3,3,4,13,8,1348,24,282,59,33,5.045027,23.83341,-18.788383
151,143,17,5,15,1,3,9,1,0,9,5,0,2,1,2,75,3905,32,69615,30,7,6.583584,22.43505,-15.851466
309,299,7,3,3,3,2,18,4,0,9,0,3,2,15,9,27,2573,15,34814,60,16,10.46377,269.985416,-259.521646
335,327,14,2,2,0,1,19,4,1,1,4,1,2,3,12,9,2001,23,37353,30,56,3.762122,35.843109,-32.080987
418,410,16,0,9,0,2,8,0,1,8,1,2,2,10,7,92,2808,13,90111,91,33,4.330538,36.662731,-32.332193000000004
255,253,1,0,13,2,0,0,2,2,10,2,1,3,9,23,55,4594,0,14663,19,88,7.329079,40.376128,-33.047049
303,301,4,3,4,0,3,11,0,5,3,5,1,0,6,25,72,3329,39,98235,29,30,5.145156,36.214636,-31.06948
414,411,5,3,0,0,0,13,5,3,4,1,0,3,14,2,61,1822,12,60332,54,39,2.820641,42.957799,-40.137158
209,204,8,0,8,2,7,12,5,8,5,0,0,2,3,19,34,313,6,78193,65,44,7.605495,13.431177,-5.825682
228,224,16,0,12,4,3,8,0,6,0,4,1,2,7,3,86,2704,39,41145,94,15,28.880114,3574.237536,-3545.357422
172,162,9,4,4,1,3,12,5,2,9,4,2,3,9,1,39,2350,13,56346,84,77,7.98792,40.047102,-32.059182
169,169,14,3,6,4,5,5,5,1,4,4,2,0,14,25,31,2542,14,26100,28,3,31.207143,3411.408204,-3380.2010609999998
440,432,2,3,13,4,3,12,3,6,3,1,0,0,13,14,29,1440,44,67889,69,6,54.839188,8714.087093,-8659.247905
132,128,3,3,4,3,3,17,4,5,7,4,3,3,15,6,96,3888,28,33972,41,81,17.005463,186.322935,-169.317472
325,319,8,3,2,2,1,8,2,5,8,0,1,1,4,13,89,1251,45,28043,18,53,2.703002,23.839726,-21.136723999999997
174,171,14,3,1,1,0,12,4,0,9,3,3,0,6,10,97,3194,26,70545,79,77,5.48041,32.604632,-27.124222000000003
253,248,12,2,12,1,7,4,4,8,0,3,0,0,11,14,18,3782,11,6590,43,48,7.688944,33.753732,-26.064788
